procuring_entity,procurement_ref_no,description,contractor,amount,procuring_method,advert_date,notification_date,contract_signing,completion_date,tenders_sold,bids_received,page
KENYA MEDICAL RESEARCH INSTITUTE,KEMRI/PROD/05/2014-2015,Purchase of lab equipment,Ms. Africa biosystem LTD,"15,736,396.70",Open tender,10/13/2014,10/24/2014,10/24/2014,11/6/2014,5,5,43
KENGEN,KGN-LEG-01-2015,PROCUREMENT OF INSURANCE BROKERAGE SERVICES FOR THE YEAR 2015-2017,Adtel Limited,"6,147,767.00",Restricted Tender,2/11/2015,5/7/2015,5/15/2015,6/30/2017,0,31,43
KENYA MEDICAL RESEARCH INSTITUTE,KEMRI/CDC/06/2015-2016,provision of medical insurance cover (CDC,Ms. GA Insurance and APA Insurance,"164,571,858.00",Open tender,1/18/2015,2/20/2015,2/20/2015,2/12/2015,15,15,43
KENYA MEDICAL RESEARCH INSTITUTE,KEMR/SEC/22/2014-2015,Provision of security services,Ms. Apex Security services / Babs Security Services,"15,540,000.00",Open tender,6/12/2014,7/30/2014,7/30/2014,7/30/2014,15,15,43
KENYA MEDICAL RESEARCH INSTITUTE,KEMRI/ENG/04/2013-2014,Provision of cleaning services,Ms. Super clean shine ltd /Lavington cleaning services,"20,458,248.00",Open tender,9/13/2013,7/4/2014,7/30/2014,7/30/2014,19,19,43
EXPORT PROCESSING ZONES AUTHORITY,EPZA/OP/2013-2014,Renovation of Staff Houses at Ponds,JOCKA BACECON AMALGAMATED,"6,421,274.00",Open tender,10/25/2013,2/5/2014,2/11/2014,7/1/2014,32,25,43
KENYA MEDICAL RESEARCH INSTITUTE,KEMRI/HR/17/2013-2014,Provision of Group life assurance cover,Ms APA Life ltd,"6,280,966.00",Open tender,7/10/2014,7/31/2014,8/21/2014,7/23/2014,12,15,43
EXPORT PROCESSING ZONES AUTHORITY,EPZA/ADMIN/2013/2014 SUPPLY OF OFFICE FURNITURE,Purchase of Office Furniture,VICTORIA FURNITURE,"8,104,194.00",Open tender,10/10/2013,1/23/2014,1/23/2014,3/18/2014,10,5,43
KENYA MEDICAL RESEARCH INSTITUTE,KEMRI/ENG/19/2013-2014,Boundary wall in Taveta field station,Ms. Jowakins (K) ltd,"37,184,078.40",Open tender,6/12/2014,7/3/2014,7/3/2014,6/27/2014,18,18,43
EGERTON UNIVERSITY,EU/TEG/01/2014-2015,Provision of Car Hire Services for Egerton University Tegemeo Institute for Agricultural Policy and Development,Spero Africa Limited,"7,797,000.00",Restricted Tender,7/3/2014,7/14/2014,8/27/2014,9/26/2014,10,4,43
COASTAL WATER SERVICES BOARD,CWSB/WaSSIP-AF/C/19/2012,"Consultancy Services for Preliminary Designs, Detailed Designs, Tender Document Pre-paration and Works Supervision for Kizingo Waste Water Treatment Plant Rehabilitation Works","Mangat, I.B. Patel & Partners Consulting Engineers","51,457,759.00",Request for proposals,8/13/2013,12/2/2014,1/30/2015,1/18/2017,1,42,43
COASTAL WATER SERVICES BOARD,CWSB/WaSSIP-AF/CDR/23/2012,CONSULTANCY SERVICES FOR SUPERVISION OF DROUGHT RESPONSE CIVIL WORKS,Tertiary Consulting Engineers Ltd (Kenya),"70,246,524.00",Request for proposals,3/24/2011,3/31/2015,4/24/2015,4/17/2016,1,11,43
EGERTON UNIVERSITY,EU/02/2014-2015,Provision of Small Works: Renovation of Lecture Halls - B's Block,Build Venture Enterprises,"10,263,912.00",Restricted Tender,8/8/2014,9/3/2014,11/4/2014,6/2/2015,4,4,43
EGERTON UNIVERSITY,EU/18/2013-2014,Provision of Insurance Services-WIBA,Trident Insurance Company Limited,"11,424,152.88",Open tender,4/24/2014,9/5/2014,10/22/2014,9/14/2015,11,10,43
EGERTON UNIVERSITY,EU/14/2014-2015,Supply and Delivery of Foam Mattresses,Super Foam Limited,"6,580,000.00",Restricted Tender,10/13/2014,11/25/2014,12/11/2014,2/3/2015,5,3,43
EGERTON UNIVERSITY,EU/28/2014-2015,Supply and Delivery of Office Furniture,Budget Furniture Limited /Furniture Elegance Limited/Fast Choice Limited,"7,608,860.00",Restricted Tender,11/18/2014,12/11/2014,2/3/2015,3/3/2015,10,5,43
EGERTON UNIVERSITY,EU/16/2014-2015,Supply and Delivery of Stationery,Yatways Company Limited /Magfre Enterprise Limited /Lintech Communications Ltd /Superlity Enterprises (K) Ltd /Toboroi Enterprises Ltd /Romek Ltd/Kings & Queens Supplies Ltd /Lotron Ventures Ltd /Phase Africa Ltd /Joriam Technologies Ltd,"9,547,510.00",Restricted Tender,10/23/2014,11/25/2014,1/14/2015,2/27/2015,16,11,43
STATE DEPARTMENT OF DEVOLUTION,MDP/12/12,Provision of outside catering services for the 2nd Devolution Conference for Council of Governors,M/s Imperial Hotel Kisumu,"16,605,000.00",Restricted Tender,4/20/2015,4/20/2015,4/20/2015,4/23/2015,10,7,44
STATE DEPARTMENT OF DEVOLUTION,MDP/12/12/,Provision of outside catering services for the 2nd Devolution Conference for Council of Governors,M/s Royal City Hotel,"6,000,000.00",Restricted Tender,4/20/2015,4/20/2015,4/20/2015,4/23/2015,10,7,44
STATE DEPARTMENT OF DEVOLUTION,MDP/ASAL/1/2013-2014,Consultancy Services for Technical Assistance to Develop a Geographic Information  system for ASAL,M/s Oakar Services Ltd,"13,385,020.00",Expression of Interest,12/24/2013,6/5/2014,6/27/2014,11/26/2014,24,17,44
STATE DEPARTMENT OF DEVOLUTION,MDP/ASAL/2/2013-2014,Consultancy Services for Medium Term ASAL Programme on Study and Development of the state of ASAL Report,M/s Geekan (K) Ltd,"19,256,000.00",Expression of Interest,3/27/2014,6/5/2014,6/27/2014,11/26/2014,22,8,44
STATE DEPARTMENT OF DEVOLUTION,MDP/SDD/07/2014-2015,Partitioning of 20th floor at Teleposta Towers for NCCC Secretariat,M/s High Point Agencies,"17,710,000.00",Restricted Tender,5/19/2015,5/19/2015,5/19/2015,6/30/2015,10,7,44
NATIONAL DROUGHT MANAGEMENT AUTHORITY,NDMA/01/2012-2013,Provision of Staff Medical Scheme,CIC General Insurance Limited,"48,970,479.00",Open tender,6/6/2013,8/16/2013,10/2/2013,10/19/2015,16,16,44
KENYA MEDICAL RESEARCH INSTITUTE,8/10/CTC/2013,Purchase of Two double cabin,D.T Dobie,"19,600,000.00",Open tender,5/3/2013,5/22/2013,6/12/2013,6/13/2013,1,1,44
NATIONAL DROUGHT MANAGEMENT AUTHORITY,NDMA/HQTS/DCF/02/2014-2015,Supply and Delivery of 10000 cubic metre Collapsible Tanks,Maasal General Agencies,"5,000,000.00",Restricted Tender,9/10/2014,9/18/2014,10/2/2014,10/6/2014,6,6,44
KENYA MEDICAL RESEARCH INSTITUTE,9/02/CTC/2014,Purchase of Motor Vehicles,Ms. Toyota Kenya Ltd,"7,262,112.00",Open tender,1/14/2014,1/31/2014,2/27/2014,2/27/2014,1,2,44
NATIONAL DROUGHT MANAGEMENT AUTHORITY,NDMA/DCF/001/2014-2015,"Tender for Supply, delivery, installation and commissioning of diesel power generators",Rift Valley Machineries Limited,"14,798,040.00",Open tender,9/26/2014,11/12/2014,11/27/2014,1/9/2015,0,22,44
NATIONAL DROUGHT MANAGEMENT AUTHORITY,NDMA/DCF/002/2014-2015,Tender for Supply and Delivery of 4x4 Motor Vehicle,Toyata Kenya Limited,"5,118,046.00",Open tender,9/26/2014,11/12/2014,11/27/2014,8/10/2015,0,2,44
NATIONAL DROUGHT MANAGEMENT AUTHORITY,NDMA/DCF/03/2014-2015,"Tender for Supply, delivery, installation and testing of Submersible Pumps",Davis and Shirtlilff,"6,050,110.00",Open tender,9/26/2014,11/12/2014,11/27/2014,2/26/2015,0,12,44
KENYA MEDICAL RESEARCH INSTITUTE,06/04/CTC/2014,"supply, delivery, installation testing and commissioning of Air conditioning and mechanical ventilation installation",Ms. Solakold Services Ltd,"8,116,100.00",Open tender,4/9/2014,4/24/2014,5/8/2014,5/8/2014,1,9,44
KENYA MEDICAL RESEARCH INSTITUTE,09/15/CTC/2014,"rehabilitation of road works, foot path ad side drains at Kemri Kisumu",Ms. Skywave Africa ltd,"10,180,896.00",Open tender,8/5/2014,9/23/2014,11/15/2014,11/15/2014,8,8,44
COASTAL WATER SERVICES BOARD,CWSB/ WaSSIP-AF/C/24/2013,Review of Detailed Design Report of Bute Dam and Construction Supervision of Works,Zam Consult Consulting Engineers,"118,230,685.00",Request for proposals,1/13/2013,12/11/2014,3/2/2015,2/24/2016,1,39,44
COASTAL WATER SERVICES BOARD,CWSB/WaSSIP-AF/C/25/2013,CONSULTANCY SERVICES FOR ENVIRONMENTAL AND SOCIAL IMPACT ASSESSMENT STUDY AND PREPARATION OF RESETTLEMENT ACTION PLANS FOR THE PROPOSED WORKS CONTRACTS UNDER COAST  WATER SERVICES BOARD,Zamconsult consulting engineering limited,"34,567,222.00",Request for proposals,1/30/2014,9/29/2014,11/5/2014,4/27/2017,1,33,44
NATIONAL OIL CORPORATION OF KENYA,NOCK/PRC/03/(838),Tender for Construction of Kisauni Service Station,Absal & Sons Enterprises,"53,175,093.17",Open tender,4/28/2014,7/9/2014,8/1/2014,11/30/2015,31,22,44
"MINISTRY OF EDUCACTION, SCIENCE AND TECHNOLOGY DEPARTMENT OF EDUCATION",MOEST/TVET/55/2014-2015,"Erection and completion of twin workshop, classrooms and office block for THE Proposed Balambala technical training Institute Mentored by North Eastern Technical Training Institute -",M/S LILAF CONTRACTORS LTD,"45,568,425.00",Open tender,8/6/2014,10/4/2014,10/17/2014,6/30/2015,14,7,44
KENYA MEDICAL RESEARCH INSTITUTE,10/15/CTC/204,rehabilitation of sewer line at Alupe Kemri station Busia,Ms. Ocean Bays Investments & Gen. supplies ltd,"10,180,896.00",Open tender,8/26/2014,9/11/2014,11/15/2014,11/15/2014,6,6,44
KENYA MEDICAL RESEARCH INSTITUTE,09/14/CTC/2014,provision of insurance covers,Ms. Amaco Insurance  Plan & Place Insurance Brokers,"12,463,985.00",Open tender,8/11/2014,9/12/2014,10/14/2014,10/14/2014,2,2,44
KENYA MEDICAL RESEARCH INSTITUTE,03/05/CTC/2014,Provision of inpatient medical cover,Ms. First Assurance Ltd,"59,400,000.00",Open tender,9/12/2014,9/25/2014,10/13/2014,10/13/2014,11,11,45
"MINISTRY OF EDUCACTION, SCIENCE AND TECHNOLOGY DEPARTMENT OF EDUCATION",TENDER NO. MOEST/37/2014-2015,"PROPOSED ERECTION AND COMPLETION OF TWIN WORKSHOP, CLASSROOMS, OFFICES BLOCK FOR THE PROPOSED MUMIAS WEST TECHNICAL TRAINING INSTITUTE – KAKAMEGA COUNTY, TENDER NO. MOEST/37/2014-2015 MENTORED BYSIGALAGALA TECHNICAL TRAINING INSTITUTE.",MBIG LTD P.O Box 372 BUNGOMA,"49,998,390.76",Open tender,8/6/2014,9/23/2014,10/13/2014,11/13/2015,24,15,45
KENYA MEDICAL RESEARCH INSTITUTE,09/02/CTC/2014,Purchase of Motor Vehicles,Ms. Toyota Kenya Ltd,"7,560,000.00",Open tender,3/10/2014,4/8/2014,5/8/2014,5/8/2014,1,2,45
NATIONAL OIL CORPORATION OF KENYA,NOCK/PRC/03/(855),"Tender for Supply of 3kg,6kg,13kg and 50kgs LPG cylinders",Sahamitr Pressure Container Public Company Limited,"76,468,045.50",Restricted Tender,9/12/2014,11/12/2014,11/25/2014,11/24/2016,5,5,45
KENYA MEDICAL RESEARCH INSTITUTE,10/08/CTC/2014,Fencing around Staff houses Busia,Sky Wave Africa ltd & Kizazi Kipya Building and Construction Company,"15,253,047.40",Open tender,8/12/2013,8/29/2013,10/7/2013,10/7/2013,1,4,45
KENYA MEDICAL RESEARCH INSTITUTE,08/18/CTC/2013,Renovation of staff houses in Busia,EMERALD BUILDERS LTD,"17,120,400.00",Open tender,8/6/2013,9/2/2013,10/7/2013,10/7/2013,1,3,45
"MINISTRY OF EDUCACTION, SCIENCE AND TECHNOLOGY DEPARTMENT OF EDUCATION",MOEST/TVET/13/2015-2016,"Erection and completion of twin workshop, classrooms and office block for Chuka technical training Institute-  IGAMBA NGOMBE Constituency -Tharaka nithi  County- Mentored by Meru Technical Training Institute",Mutahi engineering service,"49,687,231.00",Open tender,3/9/2015,4/2/2015,4/30/2015,3/30/2016,9,7,45
KENYA MEDICAL RESEARCH INSTITUTE,9/18/CTC/2013,"Reroofing, ceiling repairs and painting of offices Busia",Ms. Betoyo Contractors,"8,922,791.90",Open tender,8/13/2013,9/11/2013,10/7/2013,10/7/2013,1,4,45
NATIONAL OIL CORPORATION OF KENYA,NOCK/PRC/03/(875),Provision of General Insurance Brokerage Services,Risk Insurance Brokers Ltd,"12,561,766.00",Open tender,6/20/2014,9/11/2014,11/4/2014,12/31/2016,0,18,45
STATE DEPARTMENT OF FISHERIES,W.P ITEM NO. D56/NY/RGO 1001-JOB NO. 6815C,"PROPOSED ERECTION AND COMPLETION OF AQUA-CULTURE, MINI PROCESSING, COLD STORAGE AND ICE-MAKING FACILITY AT MIGORI COUNTY PHASE 2",M/S BOON CONTRACTORS LTD,"31,536,806.80",Restricted Tender,11/9/2014,12/19/2014,2/10/2015,6/30/2015,7,5,45
KENYA MEDICAL RESEARCH INSTITUTE,1/15/CTC/2013,"Refurbishment for KEMRI/CDC MDR at new Nyanza Provincial Genera; Hospital, Kisumu.",M/S Eldo-Rotsa Construction Co. Ltd,"55,430,866.40",Open tender,5/8/2013,5/30/2013,8/9/2013,8/9/2013,1,5,45
KENYA MEDICAL RESEARCH INSTITUTE,1/15/CTC/2013,"Refurbishment for KEMRI/CDC MDR at new Nyanza Provincial Genera; Hospital, Kisumu.",M/S Eldo-Rotsa Construction Co. Ltd,"55,430,866.40",Open tender,5/8/2013,5/30/2013,8/9/2013,8/9/2013,1,5,45
"MINISTRY OF EDUCACTION, SCIENCE AND TECHNOLOGY DEPARTMENT OF EDUCATION",TENDER NO. MOEST/TVET/21/2014-2015,"The proposed erection and completion of twin workshop, classrooms and offices’ block (2-storey) for the proposed Gatanga technical training institute – Murang’a county (Gatanga constituency) - TENDER NO. MOEST/TVET/21/2014-2015",PATHWAY CONSTRUCTION CO. LTD,"48,958,688.00",Open tender,8/6/2014,9/18/2014,2/2/2014,1/30/2016,14,12,45
"MINISTRY OF EDUCACTION, SCIENCE AND TECHNOLOGY DEPARTMENT OF EDUCATION",MOEST/TVET/36/2014 -2015,"Erection and completion of twin workshop, classrooms and offices block (2-storey) for the proposed Konoin Technical Training Institute – Bomet County (Konoin Constituency) Tender No. MOEST/TVET/36/2014 -2015 – Mentoring institution – Keroka TTI.",VINBEL INTERNATIONAL LTD,"46,263,055.00",Open tender,8/6/2014,9/17/2014,10/2/2014,9/30/2015,24,15,45
"MINISTRY OF EDUCACTION, SCIENCE AND TECHNOLOGY DEPARTMENT OF EDUCATION",MOEST/TVET/58/2014 -2015,"Erection and completion of twin workshop, classrooms and offices block (2-storey) for the proposed Sotik Technical Training Institute – Bomet County (Sotik Constituency) Tender No. MOEST/TVET/58/2014 -2015 – Mentoring institution – Keroka TTI",SOIN BUIDERS LTD,"50,810,350.00",Open tender,8/6/2014,9/17/2014,10/21/2014,9/30/2015,27,18,45
"MINISTRY OF EDUCACTION, SCIENCE AND TECHNOLOGY DEPARTMENT OF EDUCATION",MOEST/TVET/33/2014 -2015,"Erection and completion of twin workshop, classrooms and offices block (2-storey) for the proposed Narok West Technical Training Institute – Narok County (Narok West Constituency) Tender No. MOEST/TVET/33/2014 -2015 – Mentoring institution – Keroka TTI.",J.N INVESTMENT,"46,324,855.00",Open tender,8/6/2014,9/17/2014,10/21/2014,9/30/2015,28,19,45
"MINISTRY OF EDUCACTION, SCIENCE AND TECHNOLOGY DEPARTMENT OF EDUCATION",MOEST/TVET/27/2014 -2015,"Erection and completion of twin workshop, classrooms and offices block (2-storey) for the proposed Moiben Technical Training Institute – Uasin Gishu County (Moiben Constituency) Tender No. MOEST/TVET/27/2014 -2015 – Mentoring institution – Rift Valley Technical Training Institute.",CYKEN ENTERPRISES LTD OF PO BOX 9284 - 30100 NAIROBI,"47,829,004.60",Open tender,8/6/2014,9/16/2014,10/14/2014,12/18/2015,30,22,45
NATIONAL OIL CORPORATION OF KENYA,NOCK/PRC/03/(828),"Tender for Supply, Installation & Commissioning of Retail Network Planning System at rate of USD125,000 per year for a 3 years",Kalibrate Technologies Plc,"33,750,000.00",Open tender,1/27/2014,9/4/2014,10/4/2014,10/3/2017,7,7,45
NATIONAL OIL CORPORATION OF KENYA,NOCK/PRC/03/(923),Provision of Security Services for National Oil Facilities,Kenya Kazi (KK) Security Ltd,"36,586,224.00",Restricted Tender,9/1/2014,11/7/2014,1/19/2015,11/25/2016,0,3,45
NATIONAL OIL CORPORATION OF KENYA,NOCK/PRC/03/(928),"Structured Cabling and Provision of Device Security and Maintenance Services at
Energy Centre - awarded on framework contract for 2 years on unit rates (amount given is the projected cost for 1 year)",Express Automation Ltd,"12,000,000.00",Open tender,9/5/2014,11/28/2014,12/10/2014,11/30/2016,0,10,45
NATIONAL OIL CORPORATION OF KENYA,NOCK/PRC/03/(912),Proposed Civil Repair Works at Eldoret Central Service Station,Sirius Contractors Limited,"6,163,877.50",Restricted Tender,6/20/2014,9/11/2014,10/1/2014,2/28/2015,0,4,46
NATIONAL OIL CORPORATION OF KENYA,NOCK/PRC/03/(943),Re-Construction of  National Oil Service Station in Karatina (Nyakati),Brownbark Engineering Systems Ltd,"48,997,621.64",Open tender,10/17/2014,12/10/2014,1/12/2015,8/30/2015,14,8,46
NATIONAL OIL CORPORATION OF KENYA,NOCK/PRC/03/(946),Re-Construction of  Mtito Andei  Service Station,Lenda Construction Co. Ltd,"81,581,090.12",Open tender,10/17/2014,12/10/2014,1/15/2015,10/31/2015,12,5,46
NATIONAL OIL CORPORATION OF KENYA,NOCK/PRC/03/(945),Construction of  Chuka Service Station,Jipsy Civil & Building Contractors Ltd,"97,770,565.23",Open tender,10/17/2014,12/10/2014,2/2/2015,3/31/2016,20,15,46
NATIONAL OIL CORPORATION OF KENYA,NOCK/PRC/03/(922),Construction of National Oil Service Station at Kenyatta University( UNICITY),China Jianxi International (K) Ltd,"99,639,483.70",Open tender,8/26/2014,10/14/2014,11/30/2014,8/31/2015,22,13,46
RIFT VALLELY WATER SERVICES BOARD,RVWSB/1/2014-2015,"Drilling of 300M deep Borehole, with 14"" diameter at Lotikipi-Turkana County",Hydro-Water Well,"10,644,740.00",Restricted Tender,8/14/2014,9/4/2014,9/23/2014,10/23/2014,6,4,46
RIFT VALLELY WATER SERVICES BOARD,RVWSB/2/2013-2014,Drilling of 3 no. boreholes  and test-pumping of two existing boreholes at East Pokot-Baringo County,Turn-O-Metal Engineering LTD,"11,583,100.00",Restricted Tender,9/23/2014,11/7/2014,12/12/2014,2/28/2015,5,5,46
RIFT VALLELY WATER SERVICES BOARD,RVWSB/3/2014-2015-LOT 1,Drilling of 9 no. boreholes at East Pokot-Baringo County ( 150*3 and 160*6 ) respective depths,Wotech Kenya Ltd.,"23,869,000.00",Open tender,12/3/2014,3/27/2015,4/10/2015,6/15/2015,14,10,46
RIFT VALLELY WATER SERVICES BOARD,RVWSB/3/2014-2015-LOT 2,Drilling of 6 no. boreholes at East Pokot-Baringo County of 150 M depth,Africa Boreholes Initiatives Ltd.,"12,403,800.00",Open tender,12/3/2014,3/27/2015,4/10/2015,5/30/2015,14,10,46
EXPORT PROCESSING ZONES AUTHORITY,Tender No. 15/2013-2014,Construction of Police Post,Manyota Ltd,"20,277,753.00",Open tender,5/29/2014,8/20/2014,9/17/2014,6/30/2015,39,24,46
EXPORT PROCESSING ZONES AUTHORITY,Tender No. 17/2013-2014,Tender for the Provision of Medical Insurance Services for EPZA Staff and Dependants,UAP Insurance Company Ltd,"19,584,572.00",Open tender,5/28/2014,6/20/2014,9/2/2014,6/30/2017,16,10,46
"MINISTRY OF EDUCACTION, SCIENCE AND TECHNOLOGY DEPARTMENT OF EDUCATION",CONTRACT NO. MOEST/45/2014 - 2015,"ERECTION AND COMPLETION OF TWIN WORKSHOPS, CLASSROOMS, AND OFFICE BLOCK IN KISII COUNTY BOMACHOKE CONSTITUENCY - MENTORED BY GUSII INSTITUTE OF TECHNOLOGY- CONTRACT NO. MOEST/45/2014 - 2015",MANYA INVESTMENT COMPANY LIMITED OF P.O BOX 5805 - 00200 NAIROBI,"48,627,833.50",Open tender,8/6/2014,9/17/2014,11/5/2014,11/30/2015,46,18,46
"MINISTRY OF EDUCACTION, SCIENCE AND TECHNOLOGY DEPARTMENT OF EDUCATION",CONTRACT NO. MOEST/46/2014 - 2015,"ERECTION AND COMPLETION OF TWIN WORKSHOP, CLASSROOM AND OFFICE BLOCK IN NYAMIRA COUNTY - BORABU CONSTITUENCY - MENTORED BY GUSII IT. CONTRACT NO. MOEST/46/2014 - 2015",GESURE BUILDING CONTRACTORS LTD PO. BOX 4357-40200 KISII,"48,160,740.00",Open tender,8/6/2014,9/17/2014,11/5/2014,11/30/2015,46,15,46
"MINISTRY OF EDUCACTION, SCIENCE AND TECHNOLOGY DEPARTMENT OF EDUCATION",MOEST/TVET/43/2014 - 2015,"ERECTION OF TWIN WORKSHOP, CLASSROOMS, AND OFFICE BLOCK (2-STOREY) AT RANGWE TTI - HOMABAY COUNTY - RANGWE CONSTITUENCY CONTRACT NO:- MOEST/TVET/43/2014 - 2015",SASAH CONTRACTORS LTD BOX 758 - 40100 KISUMU,"49,881,025.00",Open tender,8/6/2014,9/22/2014,10/31/2014,11/30/2014,19,19,46
"MINISTRY OF EDUCACTION, SCIENCE AND TECHNOLOGY DEPARTMENT OF EDUCATION",CONTRACT NO. MOEST/7/2014 - 2015,"CONTRACT FOR THE SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF FURNITURE AND FITTINGS FOR NORTH RIFT TTI, BONDO TTI, EKERUBO GEITAI TTI, MITUMGUU TTI, AND KARUMO TTI -  CONTRACT NO. MOEST/7/2014 - 2015",HALGAN MEGABIDS LTD OF P.O. BOX 100086 - 00100 NAIROBI,"27,062,635.00",Open tender,10/30/2014,12/23/2014,1/29/2015,7/30/2015,37,21,46
"MINISTRY OF EDUCACTION, SCIENCE AND TECHNOLOGY DEPARTMENT OF EDUCATION",MOEST/NCB/013/2014/2015,"CONTRACT FOR THE SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF AIR CONDITIONING AND REFRIGERATION EQUIPMENT FOR YOUTH POLYTECHNICS -",HYDROMATICS LIMITED OF P.O BOX 17890 - 00500 NAIROBI,"41,438,308.80",Open tender,12/2/2014,3/2/2015,3/26/2015,6/30/2015,12,5,46
"MINISTRY OF EDUCACTION, SCIENCE AND TECHNOLOGY DEPARTMENT OF EDUCATION",CONTRACT NO. W.P ITEM NO. D106/CE/KPR/1401JOB NO. 9999A,"PROPOSED 3NO. TWIN WORKSHOPS AND 2NO. PIT LATRINE BLOCKS FOR LERESHWA YOUTH POLYTECHNIC, NYANDARUA COUNTY",INTERPID CONTRACTORS OF BOX 11788  - 00100 NAIROBI,"23,164,376.40",Restricted Tender,2/6/2015,3/2/2015,3/26/2015,9/30/2015,10,5,46
"MINISTRY OF EDUCACTION, SCIENCE AND TECHNOLOGY DEPARTMENT OF EDUCATION",CONTRACT NO. W.P. ITEM NO. D106/CE/TTU/1401JOB NO.10000A2014-2015,"PROPOSED 3NO. TWIN WORKSHOPS AND 2NO.PIT LATRINE BLOCKS FOR MBAA - INI YOUTH POLYTECHNIC, NYERI COUNTY",HIGHPOINT AGENCIES OF PO. BOX 8460 - 00200 NAIROBI,"24,271,608.00",Restricted Tender,2/6/2015,3/2/2015,3/26/2015,9/30/2015,10,7,46
NATIONAL SOCIAL SECURITY FUND (NSSF),Tender No.09/2014-2015,Provision of Fund Management Services for Self-Funded Staff Medical Scheme,Four M. Insurance Brokers Limited,"5,740,979.20",Open tender,10/31/2014,1/23/2015,3/1/2015,6/30/2016,12,6,46
"MINISTRY OF EDUCACTION, SCIENCE AND TECHNOLOGY DEPARTMENT OF EDUCATION",CONTRACT NO. W.P ITEM NO. D106/NY/BND/1401JOB NO. 9998A,"PROPOSED 3NO. TWIN WORKSHOPS AND 2NO. PIT LATRINE BLOCKS FOR LUCY ONONO YOUTH POLYTECHNIC, SIAYA COUNTY",MBINGO ENTERPRISES LIMITED,"19,978,174.00",Restricted Tender,2/6/2015,3/2/2015,3/26/2015,9/30/2015,10,9,46
NATIONAL SOCIAL SECURITY FUND (NSSF),Tender No.12/2014-2015,Provision of Cleaning and Gardening Services at Nyayo Estate Embakasi,Top Image Cleaners,"17,160,000.00",Open tender,12/23/2014,2/4/2015,3/1/2015,6/30/2016,10,8,47
NATIONAL SOCIAL SECURITY FUND (NSSF),Tender No.12/2014-2015,Provision of Cleaning and Gardening Services at Nyayo Estate Embakasi,Superbroom Services,"10,146,030.48",Open tender,12/23/2014,2/4/2015,3/1/2015,6/30/2016,10,8,47
NATIONAL SOCIAL SECURITY FUND (NSSF),Tender No.13/2014-2015,Proposed Fencing of Machakos Plot,Nicksim Engineering and Construction Limited,"19,242,196.00",Open tender,12/23/2014,2/16/2015,3/19/2015,6/30/2015,12,8,47
NATIONAL TRANSPORT AND SAFETY AUTHORITY,NTSA/NCB-016/2014-2015,"Removals and Packaging Services for motor vehicle registration and licensing documents, filing racks, cabinets and related services from 3rd floor, basement 1 and basement 2 of Times Towers Buildings to its Go- downs at Hifadhi house off Mombasa road ( next to KPA ICD station)",NELLIONS MOVING & RELOCATIONS LTD,"8,820,000.00",Open tender,4/8/2015,5/11/2015,5/22/2015,6/30/2015,13,7,47
ETHIC AND ANTI-CORRUPTION COMMISSION,TENDER No.: EACC/T38/2013-2014,PROVISION OF GENERAL INSURANCE COVER FOR FINANCIAL YEAR 2015/2016,Saham assurance,"9,147,723.00",Open tender,3/20/2015,5/12/2015,6/15/2015,6/30/2016,10,8,47
ETHIC AND ANTI-CORRUPTION COMMISSION,TENDER NO. EACC /36/2014-2015,PROVISION OF STAFF MEDICAL INSURANCE COVER FOR THE FINANCIAL YEAR 2015/2016,UAP Insurance Company,"82,327,297.00",Open tender,3/20/2015,5/12/2015,6/15/2015,6/30/2016,15,9,47
